sample_id,time_min,distance_km,location_gps_list
walk,41.0,3.0,"[(55.703952, 12.596358), (55.7187731, 12.6079337)]"
walk,43.0,3.2,"[(55.709295, 12.600466), (55.7019501, 12.5996698)]"
walk,17.0,1.3,"[(55.7100323, 12.6095416), (55.7144983, 12.6070447)]"
walk,23.0,1.7,"[(55.710563, 12.592885), (55.698412, 12.590951)]"
walk,39.0,2.9,"[(55.707569, 12.599947), (55.7019501, 12.5996698)]"
walk,25.0,1.9,"[(55.716338, 12.599927), (55.70454, 12.592273)]"
walk,42.0,3.1,"[(55.7089352, 12.5929593), (55.7124193, 12.6174369)]"
walk,36.0,2.7,"[(55.710563, 12.592885), (55.7182484, 12.6167612)]"
walk,6.0,0.47000000000000003,"[(55.7089352, 12.5929593), (55.7076871, 12.5876131)]"
walk,19.0,1.3,"[(55.70459, 12.599008), (55.708683, 12.584596)]"
