sample_id,time_min,distance_km,location_gps_list
walk,25.0,1.8,"[(55.6545285, 12.2854561), (55.644071, 12.29125)]"
walk,23.0,1.8,"[(55.656018, 12.293538), (55.650121, 12.290486)]"
walk,31.0,2.2,"[(55.653646, 12.2898757), (55.6594695, 12.2689825)]"
walk,23.0,1.7,"[(55.6557858, 12.2851925), (55.645386, 12.288527)]"
walk,30.0,2.1,"[(55.6557199, 12.2972695), (55.665752, 12.278358)]"
walk,12.0,0.89,"[(55.65882, 12.289866), (55.6645786, 12.2876838)]"
walk,13.0,0.898,"[(55.6538, 12.29575), (55.6576453, 12.2941881)]"
walk,16.0,1.2,"[(55.653646, 12.2898757), (55.6515566, 12.2743899)]"
walk,43.0,3.0,"[(55.647977, 12.290118), (55.6594695, 12.2689825)]"
walk,26.0,1.8,"[(55.656945, 12.2812499), (55.647894, 12.275044)]"
walk,12.0,0.913,"[(55.6557199, 12.2972695), (55.657542, 12.308096)]"
walk,37.0,2.6,"[(55.6487831, 12.2925513), (55.6594963, 12.2845918)]"
walk,28.0,2.1,"[(55.647977, 12.290118), (55.6515566, 12.2743899)]"
walk,23.0,1.8,"[(55.648932, 12.286933), (55.6524833, 12.2944903)]"
walk,23.0,1.6,"[(55.650565, 12.294603), (55.647894, 12.275044)]"
walk,22.0,1.7,"[(55.651428, 12.28771), (55.657542, 12.308096)]"
walk,24.0,1.8,"[(55.6526448, 12.2974614), (55.645386, 12.288527)]"
walk,29.0,2.2,"[(55.658789, 12.291355), (55.650121, 12.290486)]"
walk,32.0,2.4,"[(55.6487831, 12.2925513), (55.6515566, 12.2743899)]"
walk,12.0,0.838,"[(55.65377, 12.287433), (55.6569471, 12.2853422)]"
walk,28.0,2.0,"[(55.6487831, 12.2925513), (55.6548583, 12.2820537)]"
walk,36.0,2.6,"[(55.656945, 12.2812499), (55.6443025, 12.2985665)]"
walk,27.0,1.9,"[(55.6557199, 12.2972695), (55.644071, 12.29125)]"
walk,22.0,1.6,"[(55.6570276, 12.2827529), (55.647431, 12.28794)]"
