sample_id,time_min,distance_km,location_gps_list
walk,19.0,1.4,"[(55.7071865, 12.5383941), (55.7103295, 12.5521854)]"
walk,32.0,2.3,"[(55.7060161, 12.5317139), (55.703995, 12.55828)]"
walk,23.0,1.7,"[(55.699561, 12.549079), (55.699414, 12.52831)]"
walk,32.0,2.4,"[(55.7000131, 12.5492476), (55.715978, 12.545306)]"
walk,14.0,1.1,"[(55.703313, 12.548805), (55.710163, 12.559935)]"
walk,21.0,1.6,"[(55.707635, 12.541504), (55.696984, 12.5343476)]"
walk,19.0,1.4,"[(55.7033005, 12.5451637), (55.697116, 12.531268)]"
walk,24.0,1.8,"[(55.700783, 12.537368), (55.703995, 12.55828)]"
walk,21.0,1.6,"[(55.706897, 12.545951), (55.704033, 12.558744)]"
walk,20.0,1.5,"[(55.7062994, 12.539518), (55.696667, 12.530356)]"
walk,21.0,1.6,"[(55.702765, 12.534078), (55.692773, 12.54531)]"
walk,18.0,1.3,"[(55.7016522, 12.5478871), (55.7003305, 12.5588664)]"
walk,13.0,0.996,"[(55.705866, 12.552629), (55.6997284, 12.5420375)]"
walk,27.0,1.9,"[(55.6994296, 12.5394672), (55.711834, 12.529047)]"
walk,23.0,1.8,"[(55.7046981, 12.5511998), (55.6921789, 12.548914)]"
walk,9.0,0.674,"[(55.7046586, 12.5418365), (55.6997284, 12.5420375)]"
walk,6.0,0.47500000000000003,"[(55.7109115, 12.5434591), (55.710673, 12.549544)]"
walk,7.0,0.585,"[(55.705866, 12.552629), (55.7103295, 12.5521854)]"
walk,19.0,1.5,"[(55.702765, 12.534078), (55.70725, 12.54757)]"
walk,21.0,1.6,"[(55.7062994, 12.539518), (55.703838, 12.521105)]"
walk,7.0,0.515,"[(55.7109115, 12.5434591), (55.7145572, 12.5401798)]"
walk,19.0,1.4,"[(55.704622, 12.53139), (55.7015142, 12.5468327)]"
walk,22.0,1.7,"[(55.700783, 12.537368), (55.7103295, 12.5521854)]"
walk,8.0,0.596,"[(55.700783, 12.537368), (55.7018087, 12.5446688)]"
walk,8.0,0.62,"[(55.7033005, 12.5451637), (55.70725, 12.54757)]"
walk,19.0,1.4,"[(55.7070378, 12.5453286), (55.703995, 12.55828)]"
walk,14.0,1.1,"[(55.709554, 12.545779), (55.70725, 12.54757)]"
walk,20.0,1.4,"[(55.7062994, 12.539518), (55.711535, 12.526276)]"
walk,42.0,3.0,"[(55.699265, 12.546365), (55.7140296, 12.5252556)]"
walk,21.0,1.6,"[(55.703313, 12.548805), (55.697116, 12.531268)]"
walk,25.0,1.9,"[(55.700863, 12.549069), (55.711987, 12.54987)]"
walk,19.0,1.4,"[(55.7016522, 12.5478871), (55.696667, 12.530356)]"
walk,29.0,2.1,"[(55.704622, 12.53139), (55.7067103, 12.5559417)]"
walk,14.0,1.1,"[(55.699561, 12.549079), (55.692387, 12.540296)]"
walk,18.0,1.3,"[(55.7016522, 12.5478871), (55.7003305, 12.5588664)]"
walk,20.0,1.4,"[(55.702765, 12.534078), (55.711535, 12.526276)]"
walk,16.0,1.2,"[(55.7046981, 12.5511998), (55.695902, 12.553095)]"
walk,22.0,1.7,"[(55.706897, 12.545951), (55.711987, 12.54987)]"
walk,18.0,1.3,"[(55.706297, 12.53393), (55.70725, 12.54757)]"
walk,23.0,1.7,"[(55.7109115, 12.5434591), (55.703471, 12.529886)]"
walk,12.0,0.91,"[(55.7022731, 12.5368141), (55.699414, 12.52831)]"
walk,14.0,1.1,"[(55.7022731, 12.5368141), (55.699963, 12.526509)]"
walk,15.0,1.1,"[(55.700863, 12.549069), (55.692773, 12.54531)]"
walk,31.0,2.3,"[(55.699487, 12.544298), (55.7145572, 12.5401798)]"
walk,13.0,0.9580000000000001,"[(55.7016522, 12.5478871), (55.695902, 12.553095)]"
walk,23.0,1.7,"[(55.704275, 12.543248), (55.699963, 12.526509)]"
walk,9.0,0.705,"[(55.7043351, 12.537701), (55.703471, 12.529886)]"
walk,14.0,1.1,"[(55.699487, 12.544298), (55.697116, 12.531268)]"
walk,21.0,1.6,"[(55.7062994, 12.539518), (55.703838, 12.521105)]"
walk,24.0,1.8,"[(55.6994296, 12.5394672), (55.703995, 12.55828)]"
walk,24.0,1.8,"[(55.705866, 12.552629), (55.703471, 12.529886)]"
walk,31.0,2.3,"[(55.7016522, 12.5478871), (55.715978, 12.545306)]"
walk,13.0,0.9490000000000001,"[(55.7109115, 12.5434591), (55.7103295, 12.5521854)]"
walk,27.0,1.9,"[(55.6994296, 12.5394672), (55.711834, 12.529047)]"
walk,25.0,1.9,"[(55.703313, 12.548805), (55.715978, 12.545306)]"
walk,15.0,1.1,"[(55.707307, 12.531095), (55.699414, 12.52831)]"
walk,19.0,1.4,"[(55.7071865, 12.5383941), (55.699963, 12.526509)]"
walk,21.0,1.5,"[(55.7043351, 12.537701), (55.693706, 12.5501)]"
walk,21.0,1.5,"[(55.7033005, 12.5451637), (55.699414, 12.52831)]"
walk,11.0,0.865,"[(55.705866, 12.552629), (55.7015142, 12.5468327)]"
walk,14.0,1.1,"[(55.699487, 12.544298), (55.6921789, 12.548914)]"
walk,19.0,1.4,"[(55.703313, 12.548805), (55.710673, 12.549544)]"
walk,18.0,1.3,"[(55.7046586, 12.5418365), (55.703995, 12.55828)]"
walk,24.0,1.9,"[(55.700783, 12.537368), (55.711987, 12.54987)]"
walk,21.0,1.6,"[(55.704275, 12.543248), (55.692773, 12.54531)]"
walk,27.0,2.0,"[(55.7033005, 12.5451637), (55.703838, 12.521105)]"
walk,13.0,0.973,"[(55.700863, 12.549069), (55.703995, 12.55828)]"
walk,27.0,1.9,"[(55.706897, 12.545951), (55.711535, 12.526276)]"
walk,19.0,1.4,"[(55.707307, 12.531095), (55.6997284, 12.5420375)]"
walk,8.0,0.592,"[(55.699561, 12.549079), (55.695902, 12.553095)]"
walk,23.0,1.7,"[(55.7000131, 12.5492476), (55.699414, 12.52831)]"
walk,7.0,0.542,"[(55.7000131, 12.5492476), (55.7018087, 12.5446688)]"
walk,24.0,1.8,"[(55.7046586, 12.5418365), (55.6921789, 12.548914)]"
walk,10.0,0.764,"[(55.7070378, 12.5453286), (55.7018087, 12.5446688)]"
walk,27.0,2.0,"[(55.7046586, 12.5418365), (55.711535, 12.526276)]"
walk,17.0,1.3,"[(55.704275, 12.543248), (55.710673, 12.549544)]"
walk,17.0,1.3,"[(55.699265, 12.546365), (55.7067103, 12.5559417)]"
walk,23.0,1.6,"[(55.7022731, 12.5368141), (55.711535, 12.526276)]"
walk,32.0,2.3,"[(55.699265, 12.546365), (55.711834, 12.529047)]"
walk,18.0,1.3,"[(55.706897, 12.545951), (55.7067103, 12.5559417)]"
walk,25.0,1.9,"[(55.702765, 12.534078), (55.711987, 12.54987)]"
walk,17.0,1.3,"[(55.7022731, 12.5368141), (55.70725, 12.54757)]"
walk,25.0,1.9,"[(55.699561, 12.549079), (55.710673, 12.549544)]"
walk,22.0,1.6,"[(55.7062994, 12.539518), (55.7067103, 12.5559417)]"
walk,7.0,0.542,"[(55.707307, 12.531095), (55.703471, 12.529886)]"
walk,14.0,1.1,"[(55.707307, 12.531095), (55.703838, 12.521105)]"
walk,11.0,0.839,"[(55.709554, 12.545779), (55.7103295, 12.5521854)]"
walk,25.0,1.8,"[(55.707635, 12.541504), (55.7003305, 12.5588664)]"
walk,14.0,1.1,"[(55.700863, 12.549069), (55.693706, 12.5501)]"
walk,18.0,1.3,"[(55.7062994, 12.539518), (55.711834, 12.529047)]"
walk,20.0,1.4,"[(55.7046586, 12.5418365), (55.699414, 12.52831)]"
walk,24.0,1.8,"[(55.6994296, 12.5394672), (55.7003305, 12.5588664)]"
walk,9.0,0.679,"[(55.7046981, 12.5511998), (55.704033, 12.558744)]"
walk,29.0,2.1,"[(55.6994296, 12.5394672), (55.715978, 12.545306)]"
walk,26.0,1.9,"[(55.7033005, 12.5451637), (55.711834, 12.529047)]"
