sample_id,time_min,distance_km,location_gps_list
BBB,25.0,5.393000000000001,"[(55.6952485, 12.5778027), (55.6986671, 12.589858), (55.6791232, 12.5857092), (55.68057375, 12.586622539304717)]"
BBB,16.0,4.457,"[(55.693372, 12.582715), (55.696524, 12.5808821), (55.6771366, 12.5805045), (55.676875, 12.576859)]"
BBB,9.0,2.763,"[(55.698236, 12.590989), (55.6964845, 12.5807079), (55.6878854, 12.5793495), (55.68980155, 12.585935533553979)]"
BBB,16.0,3.5229999999999997,"[(55.698236, 12.590989), (55.6954394, 12.5807317), (55.6832139, 12.5885512), (55.68668, 12.581788)]"
BBB,12.0,3.6260000000000003,"[(55.696084, 12.580586), (55.696524, 12.5808821), (55.6896832, 12.583332), (55.6760606, 12.58588340806224)]"
BBB,12.0,3.8259999999999996,"[(55.6996136, 12.5870066), (55.6986671, 12.589858), (55.685412, 12.5858741), (55.688345, 12.580767)]"
BBB,12.0,4.186,"[(55.6963355, 12.5827554), (55.6986671, 12.589858), (55.6896832, 12.583332), (55.68086, 12.570374)]"
BBB,14.0,3.724,"[(55.701119, 12.585712), (55.7030597, 12.587908), (55.6896832, 12.583332), (55.686909099999994, 12.573982732416612)]"
BBB,20.0,3.838,"[(55.6963355, 12.5827554), (55.6954394, 12.5807317), (55.6891324, 12.5749131), (55.676875, 12.576859)]"
BBB,27.0,7.3,"[(55.696225, 12.591119), (55.6954394, 12.5807317), (55.6760307, 12.5829106), (55.689514, 12.5823098)]"
BBB,27.0,5.397,"[(55.6975318, 12.57752219745386), (55.6954394, 12.5807317), (55.6809955, 12.5940343), (55.6857819, 12.5751229)]"
BBB,28.0,6.616,"[(55.695607, 12.579264), (55.6985844, 12.5895256), (55.6809955, 12.5940343), (55.689514, 12.5823098)]"
BBB,20.0,3.5940000000000003,"[(55.698424, 12.583961), (55.6975194, 12.5851912), (55.6891324, 12.5749131), (55.68044, 12.590151)]"
BBB,15.0,3.8,"[(55.6975318, 12.57752219745386), (55.6920044, 12.58745), (55.685412, 12.5858741), (55.68246439864357, 12.59476487417747)]"
BBB,10.0,2.847,"[(55.6961907, 12.588578010659308), (55.6954394, 12.5807317), (55.6878854, 12.5793495), (55.690361, 12.587294)]"
BBB,22.0,6.641,"[(55.6966447, 12.5808591), (55.6920044, 12.58745), (55.6757998, 12.5763385), (55.68246439864357, 12.59476487417747)]"
BBB,22.0,6.215,"[(55.701119, 12.585712), (55.7030597, 12.587908), (55.6771366, 12.5805045), (55.68044, 12.590151)]"
BBB,18.0,3.9749999999999996,"[(55.696881, 12.5790721), (55.6976483, 12.5857326), (55.685412, 12.5858741), (55.686909099999994, 12.573982732416612)]"
BBB,23.0,5.659,"[(55.699561, 12.587953), (55.6954394, 12.5807317), (55.6769827, 12.5835276), (55.686909099999994, 12.573982732416612)]"
BBB,11.0,3.3040000000000003,"[(55.6966447, 12.5808591), (55.696524, 12.5808821), (55.6896832, 12.583332), (55.6760606, 12.58588340806224)]"
BBB,16.0,3.8259999999999996,"[(55.698167, 12.583758), (55.696524, 12.5808821), (55.6868888, 12.5772242), (55.68044, 12.590151)]"
BBB,14.0,3.2319999999999998,"[(55.6966447, 12.5808591), (55.6954394, 12.5807317), (55.6791232, 12.5857092), (55.68057375, 12.586622539304717)]"
BBB,18.0,3.618,"[(55.700812, 12.585963), (55.6975194, 12.5851912), (55.6891324, 12.5749131), (55.68086, 12.570374)]"
BBB,29.0,8.304,"[(55.694834, 12.577948), (55.6954394, 12.5807317), (55.6778264, 12.6019862), (55.689514, 12.5823098)]"
BBB,24.0,4.744,"[(55.6975318, 12.57752219745386), (55.6964845, 12.5807079), (55.6809955, 12.5940343), (55.67803, 12.580937)]"
BBB,14.0,4.497999999999999,"[(55.6996136, 12.5870066), (55.6985844, 12.5895256), (55.685412, 12.5858741), (55.680047, 12.5755261)]"
BBB,18.0,6.007000000000001,"[(55.6966447, 12.5808591), (55.6986671, 12.589858), (55.6771366, 12.5805045), (55.68086, 12.570374)]"
BBB,22.0,4.55,"[(55.6968, 12.584285), (55.6975194, 12.5851912), (55.6791232, 12.5857092), (55.686909099999994, 12.573982732416612)]"
BBB,26.0,5.157,"[(55.694573, 12.581745), (55.6954394, 12.5807317), (55.6809955, 12.5940343), (55.6857819, 12.5751229)]"
BBB,30.0,6.353,"[(55.700441, 12.580664), (55.6985844, 12.5895256), (55.6804777, 12.568164), (55.676875, 12.576859)]"
BBB,19.0,5.516,"[(55.699688, 12.580278), (55.696524, 12.5808821), (55.6791232, 12.5857092), (55.689514, 12.5823098)]"
BBB,26.0,7.134,"[(55.6952485, 12.5778027), (55.6985844, 12.5895256), (55.6771366, 12.5805045), (55.688889, 12.582415)]"
BBB,32.0,9.4,"[(55.698236, 12.590989), (55.7021616, 12.5773957), (55.6809955, 12.5940343), (55.6857819, 12.5751229)]"
BBB,26.0,6.17,"[(55.699688, 12.580278), (55.6985844, 12.5895256), (55.6809955, 12.5940343), (55.6735475, 12.582857082894737)]"
BBB,14.0,4.769,"[(55.698532, 12.581195), (55.6986671, 12.589858), (55.6878854, 12.5793495), (55.678366, 12.575433)]"
BBB,28.0,7.9,"[(55.693372, 12.582715), (55.7021616, 12.5773957), (55.6809955, 12.5940343), (55.676875, 12.576859)]"
BBB,12.0,3.3489999999999998,"[(55.696084, 12.580586), (55.6975194, 12.5851912), (55.6868888, 12.5772242), (55.688889, 12.582415)]"
BBB,16.0,3.0559999999999996,"[(55.698167, 12.583758), (55.6954394, 12.5807317), (55.6804777, 12.568164), (55.68086, 12.570374)]"
BBB,28.0,5.3740000000000006,"[(55.6952485, 12.5778027), (55.6976483, 12.5857326), (55.6809955, 12.5940343), (55.68668, 12.581788)]"
BBB,27.0,9.604,"[(55.700812, 12.585963), (55.6989191, 12.5762525), (55.6778264, 12.6019862), (55.67952405, 12.580250472419378)]"
BBB,16.0,4.156000000000001,"[(55.6975318, 12.57752219745386), (55.696524, 12.5808821), (55.6832139, 12.5885512), (55.690361, 12.587294)]"
BBB,17.0,5.192,"[(55.6961907, 12.588578010659308), (55.6985844, 12.5895256), (55.6771366, 12.5805045), (55.6761665, 12.5743564)]"
BBB,12.0,3.9330000000000003,"[(55.696225, 12.591119), (55.696524, 12.5808821), (55.685412, 12.5858741), (55.688889, 12.582415)]"
BBB,15.0,4.9,"[(55.698532, 12.581195), (55.7030597, 12.587908), (55.6896832, 12.583332), (55.686876, 12.594743)]"
BBB,8.0,2.466,"[(55.693372, 12.582715), (55.6954394, 12.5807317), (55.6859902, 12.5838862), (55.68668, 12.581788)]"
BBB,14.0,2.758,"[(55.696225, 12.591119), (55.6976483, 12.5857326), (55.6891324, 12.5749131), (55.689514, 12.5823098)]"
BBB,11.0,2.772,"[(55.698236, 12.590989), (55.6985844, 12.5895256), (55.6868888, 12.5772242), (55.68668, 12.581788)]"
BBB,16.0,4.9159999999999995,"[(55.700812, 12.585963), (55.6954394, 12.5807317), (55.6773273, 12.584686), (55.676875, 12.576859)]"
BBB,15.0,4.484,"[(55.6966447, 12.5808591), (55.6985844, 12.5895256), (55.6868888, 12.5772242), (55.67803, 12.580937)]"
BBB,17.0,4.522,"[(55.694573, 12.581745), (55.6975194, 12.5851912), (55.6791232, 12.5857092), (55.68668, 12.581788)]"
BBB,19.0,5.265,"[(55.698424, 12.583961), (55.6954394, 12.5807317), (55.6771366, 12.5805045), (55.6777469, 12.5963663)]"
BBB,11.0,2.786,"[(55.6996136, 12.5870066), (55.6975194, 12.5851912), (55.6868888, 12.5772242), (55.689514, 12.5823098)]"
BBB,16.0,4.602,"[(55.696084, 12.580586), (55.6976483, 12.5857326), (55.6868888, 12.5772242), (55.680047, 12.5755261)]"
BBB,13.0,3.534,"[(55.700812, 12.585963), (55.6975194, 12.5851912), (55.6868888, 12.5772242), (55.687136, 12.587342)]"
BBB,20.0,5.708,"[(55.6956014, 12.5830167), (55.6920044, 12.58745), (55.6758828, 12.5764403), (55.687136, 12.587342)]"
BBB,21.0,6.24,"[(55.6996136, 12.5870066), (55.6954394, 12.5807317), (55.6771366, 12.5805045), (55.688345, 12.580767)]"
BBB,10.0,3.6340000000000003,"[(55.698107, 12.5831), (55.696524, 12.5808821), (55.6859902, 12.5838862), (55.688889, 12.582415)]"
BBB,24.0,4.306,"[(55.698236, 12.590989), (55.6954394, 12.5807317), (55.6809955, 12.5940343), (55.687311, 12.592946)]"
BBB,27.0,6.390000000000001,"[(55.694834, 12.577948), (55.6986671, 12.589858), (55.6809955, 12.5940343), (55.690361, 12.587294)]"
BBB,18.0,4.87,"[(55.696881, 12.5790721), (55.6975194, 12.5851912), (55.6758828, 12.5764403), (55.6761665, 12.5743564)]"
BBB,26.0,8.319,"[(55.698424, 12.583961), (55.7030597, 12.587908), (55.6758828, 12.5764403), (55.690361, 12.587294)]"
BBB,14.0,4.378,"[(55.698107, 12.5831), (55.6975194, 12.5851912), (55.6878854, 12.5793495), (55.678366, 12.575433)]"
BBB,12.0,3.8289999999999997,"[(55.698236, 12.590989), (55.6954394, 12.5807317), (55.6896832, 12.583332), (55.67803, 12.580937)]"
BBB,17.0,3.57,"[(55.6956014, 12.5830167), (55.6920044, 12.58745), (55.6896832, 12.583332), (55.676759, 12.583864)]"
BBB,18.0,3.29,"[(55.700812, 12.585963), (55.6954394, 12.5807317), (55.6891324, 12.5749131), (55.690361, 12.587294)]"
BBB,27.0,7.209,"[(55.698532, 12.581195), (55.696524, 12.5808821), (55.6758828, 12.5764403), (55.686909099999994, 12.573982732416612)]"
BBB,18.0,5.8260000000000005,"[(55.698532, 12.581195), (55.6986671, 12.589858), (55.6757998, 12.5763385), (55.676759, 12.583864)]"
BBB,16.0,5.268000000000001,"[(55.698236, 12.590989), (55.7030597, 12.587908), (55.6878854, 12.5793495), (55.6761665, 12.5743564)]"
BBB,25.0,5.186999999999999,"[(55.693372, 12.582715), (55.696524, 12.5808821), (55.6809955, 12.5940343), (55.676875, 12.576859)]"
BBB,26.0,5.2,"[(55.701119, 12.585712), (55.6954394, 12.5807317), (55.6809955, 12.5940343), (55.6735475, 12.582857082894737)]"
BBB,27.0,6.4719999999999995,"[(55.699688, 12.580278), (55.7030597, 12.587908), (55.6809955, 12.5940343), (55.6806336, 12.5990266)]"
BBB,15.0,3.959,"[(55.699561, 12.587953), (55.6954394, 12.5807317), (55.6898074, 12.5838361), (55.678372, 12.591692)]"
BBB,7.0,2.071,"[(55.699035, 12.590068), (55.696524, 12.5808821), (55.6896832, 12.583332), (55.68980155, 12.585935533553979)]"
BBB,39.0,10.299999999999999,"[(55.6952485, 12.5778027), (55.7030597, 12.587908), (55.6778264, 12.6019862), (55.688889, 12.582415)]"
BBB,17.0,4.355,"[(55.695886, 12.588236), (55.6964845, 12.5807079), (55.6791232, 12.5857092), (55.687136, 12.587342)]"
BBB,23.0,6.969,"[(55.698532, 12.581195), (55.6986671, 12.589858), (55.6760307, 12.5829106), (55.6761665, 12.5743564)]"
BBB,27.0,5.4,"[(55.6952485, 12.5778027), (55.6920044, 12.58745), (55.6809955, 12.5940343), (55.688345, 12.580767)]"
BBB,13.0,2.734,"[(55.698236, 12.590989), (55.6954394, 12.5807317), (55.6896832, 12.583332), (55.686909099999994, 12.573982732416612)]"
BBB,23.0,6.964,"[(55.696084, 12.580586), (55.6954394, 12.5807317), (55.6757998, 12.5763385), (55.688889, 12.582415)]"
BBB,22.0,4.16,"[(55.693388, 12.583283), (55.696524, 12.5808821), (55.6920044, 12.58745), (55.6806336, 12.5990266)]"
BBB,12.0,3.765,"[(55.701119, 12.585712), (55.6954394, 12.5807317), (55.6859902, 12.5838862), (55.688345, 12.580767)]"
BBB,18.0,5.247999999999999,"[(55.6963355, 12.5827554), (55.6954394, 12.5807317), (55.6769827, 12.5835276), (55.687311, 12.592946)]"
BBB,15.0,4.453,"[(55.694935, 12.589321), (55.6964845, 12.5807079), (55.6878854, 12.5793495), (55.678366, 12.575433)]"
BBB,25.0,4.79,"[(55.696225, 12.591119), (55.6954394, 12.5807317), (55.6891324, 12.5749131), (55.6735475, 12.582857082894737)]"
BBB,13.0,4.4190000000000005,"[(55.701119, 12.585712), (55.7030597, 12.587908), (55.6896832, 12.583332), (55.686876, 12.594743)]"
BBB,32.0,6.4670000000000005,"[(55.6963355, 12.5827554), (55.6975194, 12.5851912), (55.6809955, 12.5940343), (55.686909099999994, 12.573982732416612)]"
BBB,20.0,6.247999999999999,"[(55.693388, 12.583283), (55.6986671, 12.589858), (55.6758828, 12.5764403), (55.676759, 12.583864)]"
BBB,29.0,8.0,"[(55.6956014, 12.5830167), (55.6986671, 12.589858), (55.6758828, 12.5764403), (55.686909099999994, 12.573982732416612)]"
BBB,18.0,5.3469999999999995,"[(55.6961907, 12.588578010659308), (55.6975194, 12.5851912), (55.6769827, 12.5835276), (55.687136, 12.587342)]"
BBB,22.0,6.6,"[(55.696881, 12.5790721), (55.6986671, 12.589858), (55.6771366, 12.5805045), (55.6857819, 12.5751229)]"
BBB,24.0,4.855,"[(55.695886, 12.588236), (55.6964845, 12.5807079), (55.6809955, 12.5940343), (55.687136, 12.587342)]"
BBB,20.0,3.621,"[(55.694935, 12.589321), (55.6975194, 12.5851912), (55.6920044, 12.58745), (55.67803, 12.580937)]"
BBB,27.0,7.800000000000001,"[(55.693388, 12.583283), (55.7021616, 12.5773957), (55.6809955, 12.5940343), (55.676875, 12.576859)]"
BBB,16.0,1.969,"[(55.6966447, 12.5808591), (55.6985844, 12.5895256), (55.6920044, 12.58745), (55.690361, 12.587294)]"
BBB,12.0,3.8310000000000004,"[(55.699688, 12.580278), (55.6964845, 12.5807079), (55.685412, 12.5858741), (55.689514, 12.5823098)]"
BBB,20.0,3.735,"[(55.6961907, 12.588578010659308), (55.6954394, 12.5807317), (55.6920044, 12.58745), (55.68086, 12.570374)]"
BBB,26.0,8.257,"[(55.6996136, 12.5870066), (55.7030597, 12.587908), (55.6758828, 12.5764403), (55.690361, 12.587294)]"
BBB,10.0,3.029,"[(55.698236, 12.590989), (55.6954394, 12.5807317), (55.6896832, 12.583332), (55.68518205, 12.57601179600542)]"
BBB,11.0,3.416,"[(55.699688, 12.580278), (55.696524, 12.5808821), (55.6878854, 12.5793495), (55.68498, 12.588746)]"
BBB,24.0,7.047000000000001,"[(55.6961907, 12.588578010659308), (55.6975194, 12.5851912), (55.6758828, 12.5764403), (55.688889, 12.582415)]"
BBB,28.0,7.9399999999999995,"[(55.6961907, 12.588578010659308), (55.6976483, 12.5857326), (55.6778264, 12.6019862), (55.678366, 12.575433)]"
BBB,23.0,2.7960000000000003,"[(55.698424, 12.583961), (55.6985844, 12.5895256), (55.6920044, 12.58745), (55.686909099999994, 12.573982732416612)]"
BBB,21.0,6.34,"[(55.6996136, 12.5870066), (55.6954394, 12.5807317), (55.6758828, 12.5764403), (55.687136, 12.587342)]"
BBB,25.0,5.677999999999999,"[(55.695886, 12.588236), (55.6985844, 12.5895256), (55.6809955, 12.5940343), (55.6806336, 12.5990266)]"
