sample_id,time_min,distance_km,location_gps_list
walk,28.0,2.1,"[(55.721687, 12.486215), (55.7140796, 12.5032743)]"
walk,19.0,1.4,"[(55.719559, 12.497372), (55.709304, 12.498434)]"
walk,15.0,1.1,"[(55.7252379, 12.4862241), (55.7289564, 12.4928583)]"
walk,26.0,1.9,"[(55.720349, 12.484238), (55.722221, 12.504576)]"
walk,11.0,0.896,"[(55.723292, 12.484455), (55.725276, 12.477805)]"
walk,21.0,1.6,"[(55.7158174, 12.4794276), (55.725665, 12.476663)]"
walk,24.0,1.8,"[(55.722551, 12.483346), (55.722221, 12.504576)]"
walk,7.0,0.546,"[(55.722551, 12.483346), (55.7250917, 12.4862741)]"
walk,25.0,1.9,"[(55.7195844, 12.4929897), (55.725665, 12.476663)]"
walk,17.0,1.3,"[(55.721623, 12.489789), (55.725665, 12.476663)]"
walk,28.0,2.2,"[(55.722794, 12.489119), (55.7109577, 12.4783013)]"
walk,15.0,1.2,"[(55.718224, 12.481611), (55.725276, 12.477805)]"
walk,14.0,1.1,"[(55.722794, 12.489119), (55.721791, 12.476148)]"
walk,30.0,2.3,"[(55.7172787, 12.4929345), (55.709304, 12.498434)]"
walk,29.0,2.2,"[(55.7195844, 12.4929897), (55.7283339, 12.4979742)]"
walk,24.0,1.7,"[(55.7224774, 12.4915155), (55.721033, 12.47018)]"
walk,28.0,2.1,"[(55.721623, 12.489789), (55.711056, 12.498328)]"
walk,12.0,0.912,"[(55.722551, 12.483346), (55.724941, 12.471797)]"
walk,24.0,1.9,"[(55.7195844, 12.4929897), (55.7158366, 12.5033322)]"
walk,17.0,1.2,"[(55.7227944, 12.4868977), (55.7289564, 12.4928583)]"
walk,4.0,0.34,"[(55.7260382, 12.4842728), (55.726094, 12.482028)]"
walk,2.0,0.181,"[(55.720349, 12.484238), (55.720667, 12.4866947)]"
walk,43.0,3.2,"[(55.719559, 12.497372), (55.710362, 12.473834)]"
walk,31.0,2.3,"[(55.720095, 12.474304), (55.727744, 12.498998)]"
walk,18.0,1.4,"[(55.7157423, 12.4924165), (55.711056, 12.498328)]"
walk,28.0,2.1,"[(55.722794, 12.489119), (55.7116328, 12.5033311)]"
walk,23.0,1.8,"[(55.7195844, 12.4929897), (55.725276, 12.477805)]"
walk,30.0,2.2,"[(55.7195844, 12.4929897), (55.727744, 12.498998)]"
walk,31.0,2.3,"[(55.7195844, 12.4929897), (55.709425, 12.472247)]"
walk,13.0,1.0,"[(55.7252379, 12.4862241), (55.7297442, 12.4803458)]"
walk,28.0,2.1,"[(55.7172787, 12.4929345), (55.710362, 12.473834)]"
walk,13.0,0.994,"[(55.71688, 12.479142), (55.7109577, 12.4783013)]"
walk,8.0,0.641,"[(55.7195844, 12.4929897), (55.720667, 12.4866947)]"
walk,11.0,0.804,"[(55.7192428, 12.4791386), (55.721033, 12.47018)]"
walk,19.0,1.4,"[(55.719735, 12.477376), (55.7113993, 12.4842306)]"
walk,12.0,0.865,"[(55.7252379, 12.4862241), (55.726094, 12.482028)]"
walk,28.0,2.1,"[(55.7195844, 12.4929897), (55.7289564, 12.4928583)]"
walk,27.0,2.0,"[(55.7157423, 12.4924165), (55.725276, 12.477805)]"
walk,30.0,2.2,"[(55.7195844, 12.4929897), (55.7297442, 12.4803458)]"
walk,21.0,1.5,"[(55.7260382, 12.4842728), (55.727744, 12.498998)]"
walk,19.0,1.4,"[(55.7252379, 12.4862241), (55.724941, 12.471797)]"
walk,9.0,0.713,"[(55.719735, 12.477376), (55.721033, 12.47018)]"
walk,25.0,1.9,"[(55.7195844, 12.4929897), (55.726267, 12.476164)]"
walk,28.0,2.1,"[(55.7157423, 12.4924165), (55.724941, 12.471797)]"
walk,15.0,1.2,"[(55.718246, 12.477398), (55.7113993, 12.4842306)]"
walk,16.0,1.2,"[(55.7176974, 12.4874727), (55.7113993, 12.4842306)]"
walk,25.0,1.9,"[(55.7195844, 12.4929897), (55.726267, 12.476164)]"
walk,25.0,1.9,"[(55.7195844, 12.4929897), (55.726267, 12.476164)]"
walk,26.0,1.9,"[(55.7172787, 12.4929345), (55.724941, 12.471797)]"
walk,36.0,2.7,"[(55.720095, 12.474304), (55.7116328, 12.5033311)]"
walk,12.0,0.9460000000000001,"[(55.719735, 12.477376), (55.725276, 12.477805)]"
walk,23.0,1.7,"[(55.7257092, 12.485207), (55.717895, 12.469379)]"
walk,15.0,1.2,"[(55.721687, 12.486215), (55.724941, 12.471797)]"
walk,27.0,2.0,"[(55.7224774, 12.4915155), (55.7184012, 12.4717331)]"
