latitude, longitude, name, metro_line
55.7034653,12.5488284,M3,"Cityringen (clockwise)"
55.6851171,12.5890621,M4,"Nordhavnsmetro"
55.7063512,12.5648062,M3,"Cityringen (clockwise)"
55.6851175,12.5890607,M4,"Nordhavnsmetro"
55.70644,12.5647465,M3,"Cityringen (counterclockwise)"
55.6860698,12.5328685,M3,"Cityringen (counterclockwise)"
55.6860312,12.5330231,M3,"Cityringen (clockwise)"
55.6713493,12.5639281,M4,"Nordhavnsmetro"
55.676472,12.5681381,M4,"Nordhavnsmetro"
55.6671785,12.5468059,M3,"Cityringen (counterclockwise)"
55.6714463,12.5638242,M4,"Nordhavnsmetro"
55.6672727,12.546784,M3,"Cityringen (clockwise)"
55.6764091,12.5682655,M4,"Nordhavnsmetro"
55.6776376,12.5789039,M4,"Nordhavnsmetro"
55.6775465,12.5789528,M4,"Nordhavnsmetro"
55.711861,12.5950828,M4,"Nordhavnsmetro"
55.7074548,12.591489,M4,"Nordhavnsmetro"
55.7073994,12.5916422,M4,"Nordhavnsmetro"
55.6541011,12.5564232,M4,"Nordhavnsmetro"
55.6540455,12.5566056,M4,"Nordhavnsmetro"
